keyword,title,url,abstract,authors,citations
machine learning,IEEE Draft Guide for Architectural Framework and Application of Federated Machine Learning,https://ieeexplore.ieee.org/document/9134988/,"Federated [::machine::] [::learning::] defines a [::machine::] [::learning::] framework that allows a collective model to be constructed from data that is distributed across repositories owned by different organizations or devices. A blueprint for data usage and model building across organizations and devices while meeting applicable privacy, security and regulatory requirements is provided in thi...",,Not Available
machine learning,IEEE Approved Draft Guide for Architectural Framework and Application of Federated Machine Learning,https://ieeexplore.ieee.org/document/9154804/,"Federated [::machine::] [::learning::] defines a [::machine::] [::learning::] framework that allows a collective model to be constructed from data that is distributed across repositories owned by different organizations or devices. A blueprint for data usage and model building across organizations and devices while meeting applicable privacy, security and regulatory requirements is provided in thi...",,Not Available
machine learning,Unsupervised Machine Learning Methods for Artifact Removal in Electrodermal Activity,https://ieeexplore.ieee.org/document/9630535/,"Artifact detection and removal is a crucial step in all data preprocessing pipelines for physiological time series data, especially when collected outside of controlled experimental settings. The fact that such artifact is often readily identifiable by eye suggests that unsupervised [::machine::] [::learning::] algorithms may be a promising option that do not require manually labeled training data...","Sandya Subramanian, Bryan Tseng, Riccardo Barbieri, Emery N Brown",Not Available
machine learning,Predicting Urban Land Cover Using Classification: A Machine Learning Approach,https://ieeexplore.ieee.org/document/10461930/,The classification of urban land cover is a crucial step in comprehending the evolution of the urban environment and its effects. We are providing a comparative analysis of [::machine::] [::learning::] methods for classifying urban land cover using remote sensing data in this research. The study utilises the Urban Land Cover dataset which is obtained from the UCI [::Machine::] [::Learning::] Repos...,"Tanush Jadhav, Tanishq, Spoorthi Jagadish, Mayur Gaikwad, Shivali Wagle, Ruchi Jayaswal, Shruti Patil",Not Available
machine learning,A Survey on Machine Learning Approaches and Its Techniques:,https://ieeexplore.ieee.org/document/9087123/,"With the data and information is available at a tremendous rate, there is a need for [::machine::] [::learning::] approaches. [::Machine::] [::learning::], it analyses the study and constructs the algorithms by making prediction on data. It builds model from the inputs to make the decisions or predictions. [::Machine::] [::learning::] algorithms it assists in bridging the gap of understanding. In ...","Thomas Rincy N, Roopam Gupta",Not Available
machine learning,An overview of Machine Learning Technologies and their use in E-learning,https://ieeexplore.ieee.org/document/9151758/,"Thanks to new technologies, internet, connected objects we produce a phenomenal amount of data. Putting these data in context, organizing them to be able to perceive, understand and reflect them is very important. Traditionally, human have analyzed data. However, as the volume of data surpasses, human increasingly turn to automated systems that can imitate him. Those systems able to [::learn::] fr...","Ramzi Farhat, Yosra Mourali, Mohamed Jemni, Houcine Ezzedine",Not Available
machine learning,Research on Edge Network Topology Optimization Based on Machine Learning,https://ieeexplore.ieee.org/document/10457399/,"Edge network topology optimization is an innovative structural design method that has made significant breakthroughs in the fields of aerospace and engineering. The use of data-driven network topology optimization has become the direction and trend of future structured topology research. At present, [::machine::] [::learning::] is fast, with greatly improved efficiency and accuracy; [::Machine::] ...","Boyi Wang, Wei Zhang",Not Available
machine learning,A Survey on Skin Lesion Detection and Classification using Machine Learning,https://ieeexplore.ieee.org/document/10531571/,"The research explores how dermatologists use [::machine::] [::learning::] to quickly and accurately identify and classify skin injury. Conventional diagnosis techniques depend on visual examination, but are subjective and have different interpretations. The ability to analyze data and recognize patterns is a possible remedy for ML. The paper examines the current technology of [::machine::] [::lear...","Rashmi Yadav, Aruna Bhat",Not Available
machine learning,"Multimodal Representation Learning: Advances, Trends and Challenges",https://ieeexplore.ieee.org/document/8949228/,"Representation [::learning::] is the base and crucial for consequential tasks, such as classification, regression, and recognition. The goal of representation [::learning::] is to automatically [::learning::] good features with deep models. Multimodal representation [::learning::] is a special representation [::learning::], which automatically [::learns::] good features from multiple modalities, a...","Su-Fang Zhang, Jun-Hai Zhai, Bo-Jun Xie, Yan Zhan, Xin Wang",Not Available
machine learning,"Machine learning protocol from ultrasound data for monitoring, predicting, and supporting the analysis of dam slopes",https://ieeexplore.ieee.org/document/10069744/,"Dam monitoring can be used as an important indicator for dam risk management. In this study, a methodology based on [::machine::] [::learning::] and ultrasound for dam safety monitoring is presented. First, a prototype dam was built to simulate different environmental conditions. Second, ultrasound images were acquired in different areas of a prototype dam. Finally, various [::machine::] [::learni...","Werickson F C Rocha, Antônio U Lucena, Gabriel F Sarmanho, Rodrigo C Félix, Sandro A Miqueleti, Tiago C Dourado",Not Available
